_id,name,native_name,birth_day,birth_month,gender,role,status,species,height,hair_color,has_hair,image_profile,image_banner,affiliations,abilities,forms,tags,game_properties
char_a,A,エー,1,6,male,supporting,unknown,unknown,,,,https://res.cloudinary.com/dqiypafpd/image/upload/v1781511290/entertainment_hub/characters/char_char_a_profile.png,,,,,,
char_abel,Abel,ゴーグル,,,,supporting,unknown,unknown,,,,https://res.cloudinary.com/dqiypafpd/image/upload/v1781512606/entertainment_hub/characters/char_char_abel_profile.jpg,,,,,,
char_abel_reiss,Abel Reiss,エーベル・レイス,,,female,supporting,unknown,unknown,,,,https://res.cloudinary.com/dqiypafpd/image/upload/v1781512630/entertainment_hub/characters/char_char_abel_reiss_profile.png,,,,,,
char_absalom,Absalom,アブサロム,30,12,male,supporting,unknown,unknown,,,,https://res.cloudinary.com/dqiypafpd/image/upload/v1781511998/entertainment_hub/characters/char_char_absalom_profile.jpg,,,,,,
char_ace_portgas,Ace Portgas,ポートガス・D・エース,1,1,male,background,unknown,unknown,,,,https://res.cloudinary.com/dqiypafpd/image/upload/v1781513005/entertainment_hub/characters/char_char_ace_portgas_profile.jpg,,,,,,
char_acier_myskina,Acier Myskina,ミスキナ・アシエ,,,,supporting,unknown,unknown,,,,https://res.cloudinary.com/dqiypafpd/image/upload/v1781513018/entertainment_hub/characters/char_char_acier_myskina_profile.png,,,,,,
char_adolf_hitler,Adolf Hitler,,,,male,supporting,unknown,unknown,,,,https://res.cloudinary.com/dqiypafpd/image/upload/v1781524507/entertainment_hub/characters/char_char_adolf_hitler_profile.png,,,,,,
char_aegir,Aegir,エーギル,,,male,supporting,unknown,unknown,,,,https://res.cloudinary.com/dqiypafpd/image/upload/v1781512973/entertainment_hub/characters/char_char_aegir_profile.png,,,,,,
char_agotogi,Agotogi,アゴトギ,,,,supporting,unknown,unknown,,,,https://res.cloudinary.com/dqiypafpd/image/upload/v1781512120/entertainment_hub/characters/char_char_agotogi_profile.png,,,,,,
char_ai,Ai,愛,,,,background,unknown,unknown,,,,https://res.cloudinary.com/dqiypafpd/image/upload/v1781523983/entertainment_hub/characters/char_char_ai_profile.png,,,,,,
char_aida,Aida,アイーダ,,,,background,unknown,unknown,,,,https://res.cloudinary.com/dqiypafpd/image/upload/v1781512890/entertainment_hub/characters/char_char_aida_profile.png,,,,,,
char_ain,Ain,アイン,,,,supporting,unknown,unknown,,,,https://res.cloudinary.com/dqiypafpd/image/upload/v1781512395/entertainment_hub/characters/char_char_ain_profile.jpg,,,,,,
char_aisa,Aisa,アイサ,3,1,female,background,unknown,unknown,,,,https://res.cloudinary.com/dqiypafpd/image/upload/v1781513013/entertainment_hub/characters/char_char_aisa_profile.png,,,,,,
char_akaboshi,Akaboshi,アカボシ,,,,supporting,unknown,unknown,,,,https://res.cloudinary.com/dqiypafpd/image/upload/v1781511343/entertainment_hub/characters/char_char_akaboshi_profile.jpg,,,,,,
char_akahoshi,Akahoshi,アカホシ,,,male,supporting,unknown,unknown,,,,https://res.cloudinary.com/dqiypafpd/image/upload/v1781511193/entertainment_hub/characters/char_char_akahoshi_profile.png,,,,,,
char_akai_san,Akai-san,赤井さん,,,,background,unknown,unknown,,,,https://res.cloudinary.com/dqiypafpd/image/upload/v1781524019/entertainment_hub/characters/char_char_akai_san_profile.png,,,,,,
char_akamaru,Akamaru,赤丸,,,male,supporting,unknown,unknown,,,,https://res.cloudinary.com/dqiypafpd/image/upload/v1781511319/entertainment_hub/characters/char_char_akamaru_profile.png,,,,,,
char_akane,Akane,アカネ,,,male,supporting,unknown,unknown,,,,https://res.cloudinary.com/dqiypafpd/image/upload/v1781511220/entertainment_hub/characters/char_char_akane_profile.png,,,,,,
char_akari_nitta,Akari Nitta,新田明,,,female,background,unknown,unknown,,,,https://res.cloudinary.com/dqiypafpd/image/upload/v1781512739/entertainment_hub/characters/char_char_akari_nitta_profile.png,,,,,,
char_akatsuchi,Akatsuchi,赤ツチ,11,1,male,supporting,unknown,unknown,,,,https://res.cloudinary.com/dqiypafpd/image/upload/v1781511358/entertainment_hub/characters/char_char_akatsuchi_profile.png,,,,,,
char_akaza,Akaza,猗窩座,,,male,main,unknown,unknown,,,,https://res.cloudinary.com/dqiypafpd/image/upload/v1781531243/entertainment_hub/characters/char_char_akaza_profile.png,,,,,,
char_akihiro,Akihiro,アキヒロ,,,,supporting,unknown,unknown,,,,https://res.cloudinary.com/dqiypafpd/image/upload/v1781511972/entertainment_hub/characters/char_char_akihiro_profile.png,,,,,,
char_akio,Akio,アキオ,,,,supporting,unknown,unknown,,,,https://res.cloudinary.com/dqiypafpd/image/upload/v1781511145/entertainment_hub/characters/char_char_akio_profile.jpg,,,,,,isHuman;isAlive;isLeader;isNinja;isKonoha;isUchiha
char_akio_kuroya,Akio Kuroya,黒谷アキオ,,,male,supporting,unknown,unknown,,,,https://res.cloudinary.com/dqiypafpd/image/upload/v1781523954/entertainment_hub/characters/char_char_akio_kuroya_profile.png,,,,,,
char_akishima,Akishima,昭島,,,male,supporting,unknown,unknown,,,,https://res.cloudinary.com/dqiypafpd/image/upload/v1781523966/entertainment_hub/characters/char_char_akishima_profile.png,,,,,,
char_akita_inuzuka,Akita Inuzuka,犬塚アキタ,,,female,supporting,unknown,unknown,,,,https://res.cloudinary.com/dqiypafpd/image/upload/v1781511595/entertainment_hub/characters/char_char_akita_inuzuka_profile.jpg,,,,,,
char_akkun,Akkun,アックン,,,,supporting,unknown,unknown,,,,https://res.cloudinary.com/dqiypafpd/image/upload/v1781511531/entertainment_hub/characters/char_char_akkun_profile.jpg,,,,,,
char_akon,Akon,阿近,29,6,male,supporting,unknown,unknown,,,,https://res.cloudinary.com/dqiypafpd/image/upload/v1781523816/entertainment_hub/characters/char_char_akon_profile.png,,,,,,
